Neighborhood,Latitude,Longitude
Ashok Nagar (Delhi),28.6360207,77.101822
Ashok Vihar,28.6994533,77.1848256
Ashram Chowk,28.68313415,77.19008284852976
Babarpur,28.6874305,77.2797551
"Badarpur, Delhi",28.4931698,77.3030239
Bali Nagar,28.6541384,77.128178
Bawana,28.79966,77.0328847
Ber Sarai,28.54843765,77.18147936338744
Bhajanpura,28.701012,77.2609711
Chanakyapuri,28.5946775,77.1885212
Chandni Chowk,28.6559834,77.2321937
"Civil Lines, Delhi",28.6768508,77.2250299
"Connaught Place, New Delhi",28.6313827,77.2197924
"Dabri, New Delhi",28.6107697,77.09110590789903
Dariba Kalan,28.6546024,77.2333794
Daryaganj,28.64609,77.243048
Dashrath Puri,28.605016,77.0837828
Dayanand Colony,28.5621997,77.2476131
Defence Colony,28.5712216,77.23177637002767
Delhi Cantonment,28.593833099999998,77.13497891459929
Derawal Nagar,28.6997662,77.19006005600144
Dhaula Kuan,28.5918905,77.1617034
Dilshad Colony,28.684700000000078,77.32774000000006
Dilshad Garden,28.6758257,77.3215163
"Dwarka, Delhi",28.5771915,77.0442935
East Patel Nagar,28.645649,77.1725666
"Gadaipur, Mehrauli, New Delhi",28.4740326,77.1730927
Geetanjali Enclave,28.5303586,77.2020662
Ghitorni,28.493751,77.1491866
Gole Market,28.63371865,77.20562662098214
"Golf Links, New Delhi",28.5959698,77.2311628
Govindpuri,28.5351561,77.2637936
Greater Kailash,28.5591566,77.2460179
"Green Park, Delhi",28.5555374,77.2024966
Gulabi Bagh,28.6696495,77.1947256
Gulmohar Park,28.5571011,77.2130055
Hauz Khas,28.5442564,77.2067072
Inder Puri,28.628030000000024,77.14504000000005
Janakpuri,28.6219272,77.0874757
Jangpura,28.582457050000002,77.2415000727384
Jia Sarai,28.54610825,77.1892765245857
"Kabir Nagar, New Delhi",28.6926703,77.28354434635405
Kailash Colony,28.5530522,77.2429694
"Kamla Nagar, New Delhi",28.680344249999997,77.20212920033055
"Kapasheda Border, Delhi",28.521630000000073,77.08645000000007
Karol Bagh,28.6529982,77.1890227
Keshav Puram,28.6889264,77.1616833
"Khaira, Delhi",28.5964178,76.9686524
"Khanpur, Delhi",28.5127982,77.2323949
Khari Baoli,28.6571123,77.2210724
Kingsway Camp,28.6131425,77.2247645
Kirti Nagar,28.6532807,77.1417729
Kotla Mubarakpur Complex,28.574350000000038,77.22419000000008
"Krishna Nagar, Delhi",28.563701700000003,77.19340976494976
Lajpat Nagar,28.5792615,77.2440325
Laxmi Nagar (Delhi),28.6305526,77.277575
Laxmibai Nagar,28.5754186,77.2051091
Lodhi Colony,28.586203,77.2268576
Lutyens' Delhi,28.5178095,77.2796714
Madanpur Khadar JJ Colony,28.533280000000047,77.31645000000003
Maharani Bagh,28.5720013,77.2633718
